Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Region,Payment Method,Sales Revenue
10001,1/1/2024,Electronics,iPhone 14 Pro,2,999.99,North America,Credit Card,1999.98
10002,1/2/2024,Home Appliances,Dyson V11 Vacuum,1,499.99,Europe,PayPal,499.99
10003,1/3/2024,Clothing,Levi's 501 Jeans,3,69.99,Asia,Debit Card,209.97
10004,1/4/2024,Books,The Da Vinci Code,4,15.99,North America,Credit Card,63.96
10005,1/5/2024,Beauty Products,Neutrogena Skincare Set,1,89.99,Europe,PayPal,89.99
10006,1/6/2024,Sports,Wilson Evolution Basketball,5,29.99,Asia,Credit Card,149.95
10007,1/7/2024,Electronics,MacBook Pro 16-inch,1,2499.99,North America,Credit Card,2499.99
10008,1/8/2024,Home Appliances,Blueair Classic 480i,2,599.99,Europe,PayPal,1199.98
10009,1/9/2024,Clothing,Nike Air Force 1,6,89.99,Asia,Debit Card,539.94
10010,1/10/2024,Books,Dune by Frank Herbert,2,25.99,North America,Credit Card,51.98
10011,1/11/2024,Beauty Products,Chanel No. 5 Perfume,1,129.99,Europe,PayPal,129.99
10012,1/12/2024,Sports,Babolat Pure Drive Tennis Racket,3,199.99,Asia,Credit Card,599.97
10013,1/13/2024,Electronics,Samsung Galaxy Tab S8,2,749.99,North America,Credit Card,1499.98
10014,1/14/2024,Home Appliances,Keurig K-Elite Coffee Maker,1,189.99,Europe,PayPal,189.99
10015,1/15/2024,Clothing,North Face Down Jacket,2,249.99,Asia,Debit Card,499.98
10016,1/16/2024,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",3,35.99,North America,Credit Card,107.97
10017,1/17/2024,Beauty Products,Dyson Supersonic Hair Dryer,1,399.99,Europe,PayPal,399.99
10018,1/18/2024,Sports,Manduka PRO Yoga Mat,4,119.99,Asia,Credit Card,479.96
10019,1/19/2024,Electronics,Garmin Forerunner 945,2,499.99,North America,Credit Card,999.98
10020,1/20/2024,Home Appliances,Ninja Professional Blender,1,99.99,Europe,PayPal,99.99
10021,1/21/2024,Clothing,Zara Summer Dress,3,59.99,Asia,Debit Card,179.97
10022,1/22/2024,Books,Gone Girl by Gillian Flynn,2,22.99,North America,Credit Card,45.98
10023,1/23/2024,Beauty Products,Olay Regenerist Face Cream,1,49.99,Europe,PayPal,49.99
10024,1/24/2024,Sports,Adidas FIFA World Cup Football,3,29.99,Asia,Credit Card,89.97
10025,1/25/2024,Electronics,Bose QuietComfort 35 Headphones,1,299.99,North America,Credit Card,299.99
10026,1/26/2024,Home Appliances,Panasonic NN-SN966S Microwave,1,179.99,Europe,PayPal,179.99
10027,1/27/2024,Clothing,Adidas Ultraboost Shoes,2,179.99,Asia,Debit Card,359.98
